"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18"
"ENSG00000120563",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000120594",135,119.01,192.08,79,74.91,53,78.53,40,60,72,70,81,177,176,85,78,79,104
"ENSG00000120616",107.72,117,160.28,108.67,123.44,117,51,61,45,147.01,173.06,186.05,201.07,244.19,132.99,99.06,135.76,116
"ENSG00000120645",9,5,7.18,1,1,0,19.96,10,2,0,1,2.08,2,13,4,3,1,4
"ENSG00000120647",25,17.96,30,21,26.83,23,15,11,6,16,30.98,20,49,44,17,16,28,14
"ENSG00000120656",58,70,65.97,84.15,92,77.99,37,35,26,61,73.98,105.01,100,54,34,52,71.01,59
"ENSG00000120658",5,1,6,4.12,0,2,4,4,0,4,2,1,2,8,2.01,0,0,3
"ENSG00000120659",32,26,28,72.48,52,48,13,11,13,45,51,53,22,27,13,48,72,56
"ENSG00000120662",50,53,58,93.25,50.02,74,30,20,23,85,100,97,92,82,33,58,66,50
"ENSG00000120669",3,0,4,0,1,2,3,7,6,0,0,1,3,0,0,2,0,0
"ENSG00000120675",177,191.27,243,226.96,199.7,192,97.46,67,92,210,252.22,243,301,224.02,151,143,163,144
"ENSG00000120685",61,71,120,80,72,62,37,30,16,71,91.01,85.07,163,115,70,73,60.96,57
"ENSG00000120686",324.96,306.62,422.09,379.98,431.86,316.29,143,93.21,111,539.01,502.04,459.13,484.35,385.95,201.05,275.82,369.84,291.71
"ENSG00000120688",138,124,190.46,141.37,191.01,158.88,63.92,35,65,190,214,169.01,208.77,202,98,95,165,130
"ENSG00000120690",394.01,429.88,598.03,429.54,440.41,375.04,176,129.94,194,523.93,491.57,522.96,534.93,541.22,309.01,269,348.64,277
"ENSG00000120693",1,3,0,2,3,2,6,5,2,1,3,0,5,2,3,1,1,3
"ENSG00000120694",530.73,529.31,679.71,567.32,643.49,471.52,198,164,253.59,573.2,596.67,583.76,528.82,467.28,288.75,357.99,419.69,401.94
"ENSG00000120696",37.14,38.89,85.57,46.33,51.71,48.58,27.02,18.05,7.34,50.2,58.85,53.11,67.8,45.05,28.66,22.87,32,12.26
"ENSG00000120697",75.36,75.94,122.06,104,111.99,100,36,20,13,121,145,131.02,147,124,81,69,81,70
"ENSG00000120699",22.05,25.98,46,18,24.01,16,9,15,5,25,22,13,38.32,31,19,17,13,27
"ENSG00000120705",437.9,462.34,663.45,582.75,835.08,612.02,224.37,135.43,186.99,504.14,510.64,524.67,516.77,514.94,307.73,474.09,531.07,435.46
"ENSG00000120708",890.9,1298.95,1815.97,521.83,488,337.77,439.5,342,293,221,274,275,1133.02,1341.39,1025.99,338,534.99,325.99
"ENSG00000120709",22,55,63,64,68,66,22,23,13,54.98,71,59,107,107.07,76.84,66,54,43
"ENSG00000120725",151.99,283,362.01,495.02,466.62,474.18,116.02,71.99,79,444,458.94,476,403,459.01,205.98,369.01,349,293.99
"ENSG00000120727",322,340.24,423.94,486.86,550.88,450.36,142.06,92,149,550.2,553.24,486,493.85,491.03,253.62,351.98,490,392.06
"ENSG00000120729",0,0,1,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0
"ENSG00000120733",184.99,301.93,435.02,323.64,341.9,325.92,93,65,94.01,332.98,353.83,356,452.49,495.01,268,253,279,235.99
"ENSG00000120738",31.01,34,35,116,89.26,101.99,14,10,3,118.27,199.99,120,130.91,158,100,201.99,166.72,225
"ENSG00000120742",199.01,294,321,370.32,363.26,305.1,101,71.23,68,409,448.65,443,388,339,221.01,239.01,203,231
"ENSG00000120756",302.82,393.99,481.99,456.76,618.69,458.02,129,102.99,78,529.22,578,528.05,556.01,479.05,271.01,346,500,408
"ENSG00000120784",29,29,37,41.86,30,25.05,14,5,14,55,35.47,44,76,52.55,27.51,38,33,29
"ENSG00000120798",105,118,133.11,94,142,122,48.32,40,24,105.01,148,157,221.05,212,89,88,102,59.89
"ENSG00000120800",185,256,293,193,255,177,124.99,87,122,194,190,190,281.34,277,150,168,179.49,185
"ENSG00000120802",33.4,62,51.29,65.34,65,63.3,18.09,20.73,11,67.64,69,86.9,196,212.69,90.92,68.39,68.79,59
"ENSG00000120805",247,282,382.38,376.99,406.15,353,119,78,104,402,448.4,402.03,362.99,371,150,218,265,237
"ENSG00000120820",1,1,1,2,0,3,5,3,0,1,0,1,3,4.04,1,1,1,2
"ENSG00000120832",74,79,127,94.6,81,92,44,37,33,112,110,122.94,157.95,121,94.95,70,71,52
"ENSG00000120833",17,21,29,8,20,10,20,16.72,18,9,7,10,19.65,28,10,10,10,13
"ENSG00000120837",50.73,60.53,92.24,80.96,96.61,68.55,41.18,26,24.73,90.99,98.71,72,166.43,151.78,89,33.2,82.14,66
"ENSG00000120860",65,57,90.99,63,65,48.05,32,22,23,50,72.56,55.96,122,99,39.95,28,37,36
"ENSG00000120868",78,105,133.01,134.9,137,122,31,33,44,159,188,194,233.8,200,103,123,114,98
"ENSG00000120875",4,3,8,6,28.92,21,5,7,5,8,8,8,8,4,3,32,26,21
"ENSG00000120885",5265.92,7507.1,9075.25,16823.5,12490.42,13301.59,2589.15,1873.73,2288.42,14464.34,16972.87,16937.31,12450.14,12051.36,7254.74,8462.16,9399.02,8099.94
"ENSG00000120889",173,233,273.76,401.17,436.85,353,105.96,59,61,226.96,321.99,340,446,431.02,312.97,284.91,250,222
"ENSG00000120896",22,35.98,36,54.71,78.04,67.99,35,17.1,7,68,109,88,231,266.1,208,131,91,126
"ENSG00000120899",17,36,38,66.96,45.45,47,16,18,21,47,57,56.57,184,195.99,126,75,55,65
"ENSG00000120903",4.85,1,4.19,1,0,0,13,20,2,0,0,1,5.18,5.69,1,0,3,2.08
"ENSG00000120907",30,46.99,62.97,43,19.86,41,34,38.07,14,25,22.82,19,246,193.05,101,14,15,6
"ENSG00000120910",24,58.64,63,70,80,66.01,14,16,6,49,78,70,108,117.61,67,58,65,52
"ENSG00000120913",16,16.64,21.96,34.77,35.01,27.7,16,21,10,30.01,30,25,88.2,99.04,54,67,28.88,51.29
"ENSG00000120915",125.97,229,341,473,329.01,346.61,77,70,81,316,400.99,400.61,690.02,688,360.99,236,132,178
"ENSG00000120925",64,80.85,108,103,102.99,70,45.11,26,17,103.98,111,120,128,88,62,60,49.93,44
"ENSG00000120937",0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
"ENSG00000120942",25,62,63,71,58.99,61,16,16,11,36,39.94,38,125,129,75.9,42,34.97,44
"ENSG00000120948",425.18,410.67,575.65,483.52,547.66,477.91,169.62,113.71,192.85,560.06,570.9,513.41,562.23,534.88,266.87,355.07,459,394.67
"ENSG00000120949",2,0,0,0,0,0,7,2,1,0,0,0,0,2,2,0,0,0
"ENSG00000120952",0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,1.48
"ENSG00000120963",93.73,99.09,143,119.99,174.73,133,55.42,60,24,136,147.8,154.39,177,147,100,100,108.46,81
"ENSG00000120992",220.1,245.69,264.23,315.53,359.87,247.77,86.79,51.21,105,419.3,386.93,336.85,370.21,331.9,157.73,294.94,270.16,272.68
"ENSG00000121005",3,2,1,0,0,0,5,5,0,0,0,1,3,1,1,0,1,0
"ENSG00000121022",120,111.08,155.97,150.92,166.36,163.95,86.18,52.1,50.97,129.99,141.97,179.98,215.84,234.96,123,111,103,102
"ENSG00000121039",124.8,183.76,167.95,239.97,182.97,167.02,49.91,24,30,216.21,280,255.49,384.11,366.87,217.95,125,140.03,138.94
"ENSG00000121053",0,0,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0
