"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18"
"ENSG00000179833",144,167.67,255.93,155.8,184.28,142,71,60,79.85,145,185,187.76,293.02,314.13,180,105,175,146.57
"ENSG00000179841",0,2,4,2,2,4,3,5,1,2,0,1,6,7,2,4,0,3
"ENSG00000179846",2,2,2,1,1,0,5,3,9,0,0,0,1,1,1,1,0,0
"ENSG00000179855",1.13,3,4,0,1.15,0,7,9,1,0,1,1,3,10,5,3,0,4.98
"ENSG00000179859",5,7.19,6,0,2,1,10,3,1,0,3,0,4,8.99,3,1,1,1
"ENSG00000179862",3,9,15,41,37.49,47,6,6,10,37,44,41,81,89,67,146.49,93,86
"ENSG00000179869",5,5,2,0,1,0,9,6,5,1,1,1,6,5,2,2,0,0
"ENSG00000179873",7,3,13,3,1,1,4,2,0,5,4,5,13,5,7,4,3,3
"ENSG00000179886",3,9,9,8,9,8,5,2,0,4,10,6,26.18,23,20.01,13,6,7
"ENSG00000179889",679.04,903.35,1202.16,1233.99,1172.98,1096.62,326.28,273.96,267.5,1285.99,1485.21,1524.74,1648.95,1538.73,1004.3,802.42,837.27,697.87
"ENSG00000179902",0,1,0,0,0,0,2,5,5,0,0,0,1,0,2,0,0,1
"ENSG00000179909",3,4,1,1,4,1,7,2,0,0,1,2,2,3,3,3,0,1
"ENSG00000179912",253.96,292,349.35,362.95,253.67,216.73,110.64,71,73,363.97,370.54,369.73,570.91,544.3,305.46,212.92,234,202
"ENSG00000179913",17,28,28,56.01,52.46,79.96,5,10,6,55,82,84,30,30,20,89.79,63,58
"ENSG00000179914",0,0,0,0,0,0,1.31,0,2,0,0,0,0,0,0,0,0,0
"ENSG00000179915",12,3,7,1.53,0,1.37,21,25.93,3,0,0,1,5,7,6,3.72,1,0.37
"ENSG00000179918",426.05,741.24,1011.17,1308.63,1122.65,1015.55,296.41,162.98,209,1251.2,1402.05,1347.92,1913.81,1784.57,1016.01,706,771,607
"ENSG00000179919",3,0,2,0,0,0,3,1,3,0,0,0,3,1,0,1,0,0
"ENSG00000179921",2,0,1,0,0,0,2,1,0,0,0,0,0,1,3,0,0,0
"ENSG00000179922",0,2,1,5,3,2,1,1,0,0,2,2,11,6,8,2,2,1
"ENSG00000179930",3,5,5,0,1,3,6,4,1,0,1,0,34,23,17.06,1,1,0
"ENSG00000179933",69.02,58,86,87,102.04,64.31,36.09,23,14,71,86,80,107.16,120.56,44,71,36,63
"ENSG00000179934",1,0,1,0,0,0,3,4,0,0,0,0,0,1,0,1,0,0
"ENSG00000179938",5.6,6.77,4.47,2.48,1.55,3.73,11.72,12.4,10.12,1.35,2.54,1.32,8.64,15.19,1.38,0,13.62,7.59
"ENSG00000179941",90.99,74,103,60,66,35,39,25,33,90,99,86,76.78,57,32,43,81,42
"ENSG00000179943",9,11,14,6,4,7,32.91,26.95,18,5,11,2,20,21.6,22,8,1.42,3
"ENSG00000179950",48.84,88,108.95,204.28,194,249.25,50,21,33,187,226,199.06,445.58,501.94,337,237,213,183
"ENSG00000179954",18,9,6,1,0,1,24,25,13.1,1,0,2,13,29,5,3,0,6
"ENSG00000179958",12,28,23,24,31,20,11,7,4,19,24,21,24.99,38,22,24,17,11
"ENSG00000179965",5,9,16,7,8,2,22,20,8,8,4,12,26,48,27.62,16,9,5
"ENSG00000179981",21,28.01,43,51.87,29,31,27,19,25,44,66.16,47,130,131.99,106,41.99,30,33
"ENSG00000179988",24,25,25,36,39,26,25,17,13,25,16,45,33,25,24,23,24,18
"ENSG00000180008",144.99,114.28,155.34,151.74,138.24,91.67,57,38.83,56,165.01,170,150,135,100,66,90.13,117.68,133
"ENSG00000180011",82,124.84,168.02,171,148.85,122,66,27,32.04,177,194.79,198,204,213,109.68,67,122,67
"ENSG00000180016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000180035",0,5,5,12.99,5.01,7,3.67,6,1,6,9,5,30,36,18,13,17,9
"ENSG00000180042",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000180043",0,0,5.38,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0
"ENSG00000180044",0,0,1,1,0,0,0,2,3,0,0,0,1,0,0,1,0,0
"ENSG00000180053",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000180061",4,7,3,2,3,1,6.23,1.86,1,0,1,0,7,2,5,1,0,0
"ENSG00000180071",37.06,49.92,56.29,31.37,42.65,26.16,21.65,13.24,12.29,51.89,59.42,49.32,63.76,70.91,30.31,35.68,46.2,45.15
"ENSG00000180083",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000180089",0,2,10,7.94,1,11,1,0,0.88,3,11.78,5.5,5.46,2,4.87,3.8,0,2.62
"ENSG00000180090",0,0,0,0,0,0,0,1,4,0,0,0,2,0,0,0,0,0
"ENSG00000180096",1,3,2,3,3,2,1,5.13,3,4,2,3.26,9.54,9.99,6,2,5,2
"ENSG00000180098",15,29,54,60,43.04,41,21,16,18,41,42,41,57.03,59,33,39,31,16
"ENSG00000180104",68,111.4,120.39,166.87,164.21,142.03,40.84,40.6,28.25,143.86,160.64,159,276.38,237.76,173.01,153.58,184.72,150.16
"ENSG00000180113",18,12,13,17.7,11,21,9,10,21,26,37,24,31,28,17,8,8,5
"ENSG00000180116",4,1,3,0,1,0,4,5,8,0,0,0,2,6.88,3,0,0,0
"ENSG00000180138",1.02,1.05,4.11,4.12,2.21,3.04,2.16,0,0,0,3,4.23,2.7,0,3.08,0,1.31,1.01
"ENSG00000180155",16,9,23,63,35,45,7.77,1.56,6,42,66,54,163,162,95.75,25,38,26
"ENSG00000180176",0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0
"ENSG00000180182",154.09,183,258.03,223,251,191.99,63,50,62.91,222,252.87,273.61,384.87,270,163,155,183,143
"ENSG00000180185",167.98,238.98,300.59,318.15,294,266,95.01,68,94,312.97,316.95,345.01,410.01,423,261.32,237.99,255,203
"ENSG00000180190",36.95,44,43.55,72.99,77,61,14,11,14,72,95.81,92,75,59,38,51,57,50
"ENSG00000180198",91.17,90.88,150.91,123.81,210.56,174,45.81,34,28.58,162.18,136.61,169.46,140.18,126.6,102.72,91.87,104.81,92.88
"ENSG00000180205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000180209",1,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
"ENSG00000180210",178,343,484.74,710.15,510.57,657.98,168,100.41,101.16,1029.99,1267.36,1418.03,1236.97,1343.17,752.48,490.13,400.95,393.05
"ENSG00000180219",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000180228",37,57,56.35,74,75,89,35,24,14,67,70,69,64,55,50,59,39,56
"ENSG00000180233",56,54.86,65.15,103.44,72.9,46.28,14.68,11,13,133.79,145.43,95,175.73,140.55,89.51,60.73,68.34,65.39
"ENSG00000180245",2,2,3,5,1,2,3,2,3,3,3,3,7,3,1,2,3,2
"ENSG00000180251",2,1,4,0,1,0,4,8,2,0,0,0,4,0,2,0,0,0
"ENSG00000180257",2.74,4.21,3.24,3.57,6.24,5.14,2.88,3.07,4,1.04,0,0,5.04,3.22,1,5.21,1.26,3.16
"ENSG00000180263",205.8,241,365.57,265,294.55,209.03,130.53,91,87,307.03,343,294,245.13,228.79,149,199,292,198
"ENSG00000180264",6,1,0,1,0,0,5,6,0,0,1,0,0,5,1,0,1,1
"ENSG00000180269",3.75,0,1,1,0,0,11.97,4,14,0,0,0,1,6,1,0,0,0
"ENSG00000180287",6,1,3,0,0,0,6,8.93,3,0,0,0,7,7,0,0,0,0
"ENSG00000180304",120.01,151.4,214.3,197.11,196.93,159.35,58,44.49,39,193.59,208.07,202.19,383.09,360.77,258.69,162.64,132.99,132.94
"ENSG00000180305",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000180316",2,0,1,1,0,0,5,10,1,0,1,0,4,3,3,1,5,0
"ENSG00000180318",1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,3
"ENSG00000180329",96.96,77.97,103.98,73,87.98,79.95,36.06,29,37,72,78,81,106.1,77.09,55,82.56,80,68.72
"ENSG00000180332",1,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0
"ENSG00000180336",6,6.37,2.05,1,1,0,5.77,8.17,0,1,0,4,1.97,5.11,1,2,1,1
"ENSG00000180340",2,0,1,0,0,0,1,1,0,1,0,0,2,5,1,2.56,1,1.2
"ENSG00000180346",44,54,80.01,80,68.43,43,22,17,24,75,92,95,122,89,65,36,51,27
"ENSG00000180347",2,5,6.01,0,1,1,10,6,7,0,0,0,1.07,9,1,2,0,0
"ENSG00000180353",24,18,31,11,11,18,34,24,36,12,7,15,57,85,43,35,21,10
"ENSG00000180354",28,36.47,39.47,39,27,22,24,25,20.99,13,20,19,67,60.12,29,15.34,30,15
"ENSG00000180357",170,257,284.21,255.12,248,222.02,135,76.95,56,212,239,238.96,480.84,468.06,316.84,176,207,178.71
"ENSG00000180370",676.04,675.38,814.76,914.95,1036.84,854.78,231.67,195.79,197.8,915.28,886.87,871.91,902.41,709.38,381.04,614.53,652.13,719.52
"ENSG00000180376",85,81,86,82.23,77,79,30,38,34,92,106.08,107.02,143.49,128,55,69,88,52
"ENSG00000180383",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000180386",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000180398",360.93,387.99,524.62,802.75,887.87,791.32,166,112.22,174,987.86,927.63,1008.09,477.96,514.5,230,525.4,566.54,537
"ENSG00000180423",6,8,12.99,17,18,5.99,7,6,0,11,12,9,12,22,7,9,10,10
"ENSG00000180424",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000180425",9,13,17,13,7.99,12.07,6,5,3,10,17,13.97,26,23,7,11,12,8
"ENSG00000180432",167,361.18,425.99,474.02,350.6,425.53,91,93.98,62,459.77,714,699,1727.5,1407.65,977.86,354,193,271.65
"ENSG00000180433",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000180440",2,1,0,0,0,0,2,2,0,0,0,0,4,2,0,0,0,0
"ENSG00000180447",0,0,0,0,0,1,0,4,1,0,0,0,1,0,1,0,0,4
"ENSG00000180448",2,3,0,1,1,3,4.71,4,4,2,0,0,12,15,7,5,0,2
"ENSG00000180475",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000180479",22.26,15.4,8.03,12,13.52,11,9.09,10,0,19,21.41,18.09,26.31,27.08,11,11,1,6.04
"ENSG00000180481",7,2,4,2,1,4,17,10.95,3,0,2,4,12,5,1,3,5,4
"ENSG00000180483",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000180488",120.46,114.61,182.18,183.74,232,166.17,54.37,40.31,49.13,196.64,242.91,191.63,190.23,173.6,85.2,139.61,162.84,138.89
"ENSG00000180509",7,9,15.91,22.82,20,13,11.66,10.33,10,13.4,11.99,10.06,29.44,79,52,7,6.86,6
"ENSG00000180530",281.15,360.63,477.44,347.06,453.21,336.59,103,88.92,125.32,398.17,415.24,479.94,486.64,406.22,252.86,232.71,222.82,210.62
"ENSG00000180532",2,2,1,0,0,0,3,2,1,0,0,1,2,0,1,0,0,0
"ENSG00000180535",0,0,1,1,1,4,1,5,0,3,1,2,1,7.99,4,4,2,4
"ENSG00000180537",2,0,0,0,0,0,8,3,4,0,0,0,3,0,1,1,0,0
"ENSG00000180543",2,1,6,7,3,1,2,5,0,7,1,1,11.13,8,2,6,4,3
"ENSG00000180549",0,0,0,0,0,0,0,0,0,0,0,0,3.1,1,0,0,0,0
"ENSG00000180573",259.87,374.28,500.31,578.83,468.62,385.58,109.19,106.42,85.62,487.68,485.68,474.64,269.37,284.13,146.67,282.97,412.84,284.95
"ENSG00000180574",27.15,10.76,23.89,34.6,45.78,49.79,22.4,14.67,38.56,29.89,19.08,23.9,35.58,65.63,20.6,53.75,15.89,24.74
"ENSG00000180592",8.02,9,16,13,9,5.41,21,12,10,14,7,15.01,27.99,25.44,15,12,10,6
"ENSG00000180596",153.91,274.58,335.73,480.35,444.96,395.78,108.45,52.54,67.91,428.92,432.95,416.98,296.1,313.77,144,236.27,281.7,271.01
"ENSG00000180611",7,7,11,6,8,3,3,6,3,0,4,1,5,3,2,5,7,5
"ENSG00000180613",0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,1
"ENSG00000180616",7,4,4.01,6.37,8,4,13.09,11.25,2.01,5,2,4,15.01,14.21,4.27,8.86,6,7
"ENSG00000180626",27,26,35,22,21.04,20,22,25,9,20,28,27,36,33,36,12,13,8
"ENSG00000180628",302.45,280,357.12,288,296.99,225.91,103,69.96,121,425.42,470.98,367.91,429,326,172.89,189.92,204,194
"ENSG00000180638",3,2,1.04,0,0,2,7,14,3,0,0,1,7,5,3,1,1,1
"ENSG00000180644",2,2,1,0,0,0,1,3,1,0,0,1,2,0,0,2,0,1
"ENSG00000180658",0,2.68,1,2,0,2,0,3,5.8,1,0,0,2.68,2.68,2,0,0,2
"ENSG00000180660",0,0,2.04,0,0,0,2,1.21,8,0,0,0,2.61,1.01,2,0,2,1
"ENSG00000180667",50,54,59.02,77.51,93.44,67,19,21,20,87,90.02,98,94,41,42,41,78,56
"ENSG00000180694",94,108,102,121,143,91.77,24,15,29,143.04,140,127,146.98,124,83.98,99,107,83
"ENSG00000180697",3,0,4,0,0,1,2,4,0,0,0,0,0,6,3,0,0,0
"ENSG00000180708",2,1,0,0,1,0,3,1,3,0,0,0,1,2,1,0,0,0
"ENSG00000180720",3,0,0,0,0,0,3,3,0,0,0,0,2,1,1,0,0,0
"ENSG00000180730",0,0,0,0,0,0,4,0,0,0,0,0,3,0,1,1,0,0
"ENSG00000180739",0,1,0,0,0,0,4,3,0,0,0,0,0,0,2,0,0,1
"ENSG00000180745",13.42,31,43,50,37,47.17,15,4,2,71,88,108,49,40,22,38,24,46
"ENSG00000180758",18,34,26,39,56,52,12,11,6,23,31,41,63,62,40,78,63,70
"ENSG00000180767",2,5,8,10,13,5,0,1,0,11,19,16.48,65,66,54,15.02,16,10
"ENSG00000180772",1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000180773",68,50.76,94,71,57,50,41,18,27,100,90,121,142.12,91,69,62.03,53,39.99
"ENSG00000180776",95,97,108.09,169.7,152.22,129,33,24,13.04,226,254.3,207,185,129,76.27,117,136,134
"ENSG00000180777",5,2,0,0,1,0,3.99,5,0,0,1,1,2,0,0,1.96,4,0
"ENSG00000180785",4,1,1,0,0,0,5,3,2,0,0,0,5,6,1,0,1,0
"ENSG00000180787",9,7,7,5,3.97,6.95,7.12,2,3,3,10,3,12,4,4,5.93,5,6
"ENSG00000180801",109.97,181,248,260.27,316.99,229.11,86,65,56,216,200.01,227,118,130,81,278.4,312.88,255
"ENSG00000180806",2,1,1,0,0,0,4,3.04,2,0,0,0,0,0,1,0,0,0
"ENSG00000180815",8,2,3,1,0,1,11,6,2,0,0,3,3,5,2,5,3,3
"ENSG00000180817",219.96,228.29,323.32,349.96,410.5,376.85,107.87,78.74,58.07,315.96,348.12,338.23,352.42,304.54,158.09,281.16,277.46,189.03
"ENSG00000180818",4,1,7,0,0,0,4.38,9,1,0,0,0,2,3,5,1,1,0
"ENSG00000180822",21,33,46.9,34,52,50,16,27,22,43,43.98,40,58,73,36,45.01,66,52
"ENSG00000180828",1,2,4,0,0,1,9.07,7.25,1,0,0,0,6,3,4,1,0,3
"ENSG00000180834",0,0,1,1,1,0,1,0,0,0,1,0,1,1.74,0,1,0,0
"ENSG00000180855",24.53,23.42,35.19,23.2,24.98,19.62,14.21,4.71,4.28,33.3,45.52,33.97,20.42,41.6,13.96,16.86,23.67,11.96
"ENSG00000180871",5,0,2,1,1,0,2,5,4,0,0,0,0,0,0,1,1,0
"ENSG00000180872",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000180875",3,2,9,13,7,27,24,17.5,9,122,170,115.01,9,11,4,8,7,5
"ENSG00000180878",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000180879",46,89,129,110,139,118,24,37,14,82,104,148,109,122,81,69,33,54
"ENSG00000180881",15,21,34,23,15.64,16,12,9,14,34,40,37,19,19,12,14,25,9
"ENSG00000180884",10,12,15,19,17,10,4,6,3,14,28,20,18,24,13,13,10,15
"ENSG00000180891",15,17.98,34.22,34,41.52,39.99,8,4,2,21,38,33,61,97,49,44.43,28,35
"ENSG00000180900",39,60,67,109,105.98,112.43,30,14,28,102,114,82,316,313,294.04,142,112,142
"ENSG00000180901",9,19,27,69,58.85,59.18,16,10.23,7,33,47,37,50,57,38,48,35,18
"ENSG00000180902",8.59,7,21,33,25,27,7,10,3,18,28.98,31,79,90,66,35,23,32
"ENSG00000180914",8,11,12,21,23,16,11,0,3,11,13.47,12,4,1,1,24,18,18
"ENSG00000180917",118.99,140,171,119.06,142,130.16,61,65,44,219,195,242,156,128.75,84,94,131.01,111
"ENSG00000180919",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000180921",45,55,60,115.02,104,123.04,18,14,10,96,158,107.99,279.36,311.04,262,186.18,129,148
"ENSG00000180929",0,0,0,0,0,0,0,0,0,0,0,0,4.97,0,0,0,0,0
"ENSG00000180934",5,0,5.62,0,1,0,6.28,6.02,5,2,1,1,3.36,2,1.05,1,0,3
"ENSG00000180938",7,0,8,1,1,3,2,3,6,4,8,2,12,11,7,1,3,3
"ENSG00000180953",6.66,2.83,7.65,9.66,6.41,8,1.16,0,3.98,4.79,14.08,5.95,5.13,8.53,1.16,4.48,3.44,0
"ENSG00000180957",415.03,451.18,576.11,494.56,554.09,434.99,193,149,182,506,562,534.78,713,609,317.99,367,442.01,368
"ENSG00000180964",119,184.92,217.93,166.93,185.95,163,65,42,54,172.73,200,176,172,169,87,112,150.97,116
"ENSG00000180974",1,1,0,0,0,0,3,4,0,0,0,0,0,4,0,1,0,0
"ENSG00000180979",22.55,35,42.99,53.36,68.95,61,33.17,9.09,11,60,61,43.97,117,84,54.22,44,32,33
"ENSG00000180988",1,0,0,0,0,0,3,4,0,0,0,0,0,1,0,0,0,0
"ENSG00000180992",39,47.01,66.82,60,74,76,29,20,19,57,59,66,70,91,61,58,58,34
"ENSG00000180998",2,4,5,2,3,0,7.28,4,2,5,0,6,12,12,6,2,9,3
"ENSG00000180999",3,3,3,3,4,3,4,1,1,3,3,3,8,3,8,5,0,1
"ENSG00000181001",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000181004",20,5,15,19,11,12,6,4,3,12,20,14,8,9,3,12,9,10
"ENSG00000181007",3.44,6,8.35,1,1.01,0,14.28,4,1,7,2,1,5,8.53,5,0,4,0
"ENSG00000181009",1,3,0,0,0,0,2,3,0,0,0,1,0,1,0,0,0,0
"ENSG00000181016",11.13,7.38,14.05,2.82,14.46,8.24,10.8,10.48,8,9,29,17.12,17.3,9.32,2.08,6,6,2.3
"ENSG00000181017",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181019",67,65,98,235.96,340.96,277.41,42,26.08,26,192.27,241,224,49,34,19,159,92,153
"ENSG00000181023",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"ENSG00000181026",26,43,57,101,107,84.8,21,14,9,57,52.75,69,111.01,119,85,76,84,59
"ENSG00000181027",3,8,11,7,12,8,12,7,3,9,13,5,31,24,14,9,11,13
"ENSG00000181029",8,34,41,75.98,76.07,84,23.12,7,13,44.54,74.71,60,123,117,72.55,68,43,56.8
"ENSG00000181031",6,15,20,46,28.99,42.9,14,12,5,36,55,42.99,65,84,52.99,41,38,34
"ENSG00000181035",37,46,69,41,54,49.4,7,14,11,48,76,66.21,136.92,143,110,64,40,53
"ENSG00000181036",1,0,0,1,0,0,2,1.3,0,0,0,1,0,1,1,0,0,0
"ENSG00000181038",25,33.91,44,20,43.28,35,14.35,6,2,22,31,46,54.3,55,25,34,19,28
"ENSG00000181045",5.86,3,6,15,17,16,9,8,1,8,13,9,36.72,77,38,34,8,13
"ENSG00000181061",554.88,621.77,716.76,715.67,1017.87,671.73,230.13,228.04,194.23,727.94,703.61,661.02,1058.04,782.37,365.98,660.95,655.88,762.27
"ENSG00000181072",4,0,6,0,0,2,0,7,7,1,0,0,4,2,3,1,0,0
"ENSG00000181074",1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
"ENSG00000181085",1,2,3,0,0,1,5,2,0,0,1,0,1,1,0,0,0,1
"ENSG00000181090",96,120.24,115,180.96,187.92,156,85,59,48,174,184,180.99,340.88,390.68,252,171,200,181.01
"ENSG00000181092",0,0,1,0,0,0,4,3,2,0,0,0,2,2,3,1,0,0
"ENSG00000181104",23,30,32,56,82,45,12,13,17,27,32,40,32.08,14,11,19,31,40
"ENSG00000181135",4,2,15,8.13,11,11,8,7,4,5,8,15,19,19,15,10,8,9
"ENSG00000181143",39,16,18,1,3,0,47,37,24,0,0,3,22,31.05,10,7,2,9
"ENSG00000181163",1140.29,1122.07,1425.33,1302.93,1804.07,1470.01,488.68,404.44,509.19,1112.77,1085.41,1115.03,1272.75,1099.31,561.28,1247.81,1531.28,1348.74
"ENSG00000181191",57,73.94,92.04,108,117,96.78,49,38.09,54,72,88,79.01,76,92,45,61.41,68,61
"ENSG00000181192",247.99,350.98,498.43,543.54,461.05,385.05,148.25,121.01,100,599.88,739.42,653.99,1045,1004.44,629,352,457,243
"ENSG00000181195",0,2,3,0,0,0,10,4,3,0,0,0,1,7,0,1,0,2
"ENSG00000181215",13.47,2,9,0,0,2.17,24.99,21.44,6.35,0,0,2,7.15,3.27,2,2,0,6
"ENSG00000181218",0,0,0,1.99,0,2,0,1,0,1,0,0,1,3.01,0,2,0.96,1.06
"ENSG00000181220",26.97,42.3,37.64,54.5,48.01,64.74,12.8,14.06,3.4,34.08,66.99,64.76,108.06,98.18,89.78,69.92,42.69,61.9
"ENSG00000181222",187,296.21,299.64,539.39,458.42,451.4,101.43,71,57,398.87,576.29,478.96,899.98,824.41,649.98,611.43,445.94,571
"ENSG00000181234",0,0,0,0,0,0,2,4,0,0,0,0,0,1,1.92,0,1,0
"ENSG00000181240",3,0,1,1,0,0,0,1,2,2,2,0,0,0,1,0,0,0
"ENSG00000181264",21,16,26,22,14,15,9,16,6,22,19,17.04,20,20,15,12,16,10
"ENSG00000181273",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000181274",9,14,27.92,30.9,20,21,11,9,0,18.49,28.75,22.72,116.15,119.94,62.16,21,33,22
"ENSG00000181284",4,9,5,8,5,16,1.22,2,0,4,5,11,24,16,20,17,17,17
"ENSG00000181291",1,3,1,0,0,0,8.12,6,0,0,0,0,1,4,2,1,0,2
"ENSG00000181315",87.97,83.78,143,88.74,92.2,68.16,51.53,27.52,40.9,106.34,124.9,122.87,133.79,109.63,59,62.05,61.92,53.05
"ENSG00000181322",0,0,0,1,1,0,2,0,0,0,0,1,2,1,0,0,1,0
"ENSG00000181323",1,0,0,0,0,0,1,1,3,0,0,0,0,1,0,0,0,0
"ENSG00000181333",1,1,0,0,0,0,2,2,0,0,0,1,3,2,1,0,0,0
"ENSG00000181350",2,3,1,3,0,0,6,7,3,0,0,0,3,8,0,0,1,1
"ENSG00000181371",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000181374",2,0,0,0,0,0,1,1,0,0,0,0,3,2,0,1,1,0
"ENSG00000181378",17,11,22.98,0,0,0,63.99,46,31,1,0,9,18.99,18,7,3,2,5
"ENSG00000181381",203,256,331.68,354.06,370,340.18,132.01,79.42,96,396.94,373.98,402.84,392,363.96,183,306,297.99,337
"ENSG00000181392",3,8,9,12,14,15,4,5,4,13,10,9,41,55,22,11,15,5
"ENSG00000181396",10,11,17,34,39,38,10,12,9,37,39,50,68,74,58,40,35,47
"ENSG00000181404",0,0,1.08,9.59,0,11.22,2.94,5.83,3.13,0,0,1,9.52,67.13,5,0,7.94,16.88
"ENSG00000181408",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181409",8,5,7,5,2,7,23.02,14,5,1,4,2,4,13,8,6,10,7
"ENSG00000181418",4,0,1,0,0,0,5,3,1,0,0,0,5,5,0,0,2,0
"ENSG00000181433",1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000181444",0,3,7,10,13,19.08,5,5,4,14,11,13,11.96,6,16,11,14,7
"ENSG00000181449",5,1,4,0,0,0,11.9,11,4,1,0,0,3,5,5,1,0,0
"ENSG00000181450",28.99,34.44,32.31,33.28,41.01,28,5.11,12.39,12,85.55,52.78,65.4,36.04,29.1,15.04,20.17,16.03,30.6
"ENSG00000181458",143.23,195,259.86,471,274.48,379.65,71,41,35,982.8,1183.27,955.03,117.93,93,59.95,122.26,161.99,123
"ENSG00000181467",63.47,105.32,135.26,86.35,80.66,104.41,50.33,42.25,42,125.26,129.27,93.95,356.45,362.79,201.46,123.83,144,127.62
"ENSG00000181472",21,33,34,53,60,37,26.98,19.01,1,32,36,48,45,40,21.98,34,18,23
"ENSG00000181481",0,0,4,3,10,9,0,0,1,8,4,5,10,9,6,3,5,2
"ENSG00000181499",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181513",19,46,65,65.88,77,85,30,13,16,89.15,89,99,180,231,167,86.01,84,69
"ENSG00000181518",6.83,2,5,0,0,0,7,8,12,0,0,0,1,7,2,1,4,1
"ENSG00000181523",8,11,11,29,30,36,8,9,4,20,32,27,65,58,34,33.65,33,27
"ENSG00000181541",6,7,16,7,7,10,6,5,7,13,9,10,20,10,10,11,23,8
"ENSG00000181544",3,0,2,0,4,0,3,3,2,2,0,3,2,8,0,2,4,1
"ENSG00000181552",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000181555",558.39,629.43,867.14,711.84,738.14,638.12,253.86,219.97,246,783.06,826.31,794.76,977.8,902.61,570,471,619.04,454
"ENSG00000181562",1,1,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0
"ENSG00000181577",3,1,3.7,4.63,1.9,4.61,8,15,4.9,2.99,2,0,8.1,15.29,6.68,7,5.75,6
"ENSG00000181585",2,1,0,2,1,2,3,5,2,1,4,1,4,4,2,1,5,0
"ENSG00000181588",10,7,10,18,12,13.26,4,3,0,5,13,8.15,41.28,71.3,43.88,24.37,23,18
"ENSG00000181609",0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
"ENSG00000181610",142.99,197,274,200,269.37,230.08,102.28,73.94,115,161,184,148.98,219,215.96,140,202,196,150.93
"ENSG00000181616",0,1,1,0,1,1,1,0,0,0,2,1,1,0,0,0,0,0
"ENSG00000181617",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000181619",55.17,56,64.92,64.51,94.29,86,36,33.71,25,73.76,84.04,92.61,84.02,101.25,53.68,65.67,109.07,89
"ENSG00000181625",2.6,2.9,2.85,0,1.65,3.57,1.57,1.54,1,7.86,0.81,4.89,3.96,5.98,0,2.82,1.79,0.28
"ENSG00000181626",1,2,3,0,0,1,3,5.18,1,0,1,1.22,2.57,1,0,0,0,0
"ENSG00000181631",0,1,1,0,0,0,2.03,1,0,0,0,0,1,0,0,0,0,0
